disno,dyindex,statea,namea,stateb,nameb,strtday,strtmnth,strtyr,year,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,ongo2014,new,change,changetype_1,changetype_2
2,2.001,2,USA,200,UKG,1,7,1902,1902,24,1,1903,Ongoing,Ongoing,None,Show of troops,3,0,1,1,1,1,1,None,Show of troops,3,1,0,1,1,None,No military action,1,1,1,3,0,1,184,184,Show of Force,Show of Force,None,No,No,No,None,None
2,2.001,2,USA,200,UKG,1,7,1902,1903,24,1,1903,Compromise,Negotiated,None,Show of troops,3,0,1,1,1,1,1,None,Show of troops,3,1,0,1,1,None,No military action,1,1,1,3,0,2,25,209,Show of Force,Show of Force,None,No,No,No,None,None
2,2.001,200,UKG,2,USA,1,7,1902,1902,24,1,1903,Ongoing,Ongoing,None,Show of troops,3,0,1,1,0,1,1,None,No military action,1,1,1,1,1,None,Show of troops,3,1,3,1,0,1,184,184,Show of Force,None,Show of Force,No,No,No,None,None
2,2.001,200,UKG,2,USA,1,7,1902,1903,24,1,1903,Compromise,Negotiated,None,Show of troops,3,0,1,1,0,1,1,None,No military action,1,1,1,1,1,None,Show of troops,3,1,3,1,0,2,25,209,Show of Force,None,Show of Force,No,No,No,None,None
3,3.001,300,AUH,345,YUG,2,5,1913,1913,25,10,1913,Yield B,None,None,Alert,3,0,1,1,1,1,2,None,Alert,3,1,0,0,0,None,No military action,1,1,1,3,0,1,177,177,Alert,Alert,None,No,No,No,None,None
3,3.001,345,YUG,300,AUH,2,5,1913,1913,25,10,1913,Yield A,None,None,Alert,3,0,1,1,0,0,0,None,No military action,1,1,1,1,2,None,Alert,3,1,3,1,0,1,177,177,Alert,None,Alert,No,No,No,None,None
4,4.001,200,UKG,339,ALB,15,5,1946,1946,13,11,1946,Statlemate,None,26-100,Raid,4,0,1,1,0,0,0,26-100,Show of Ships,3,1,1,0,0,None,Raid,4,1,3,1,0,1,183,183,Attack,Show of Force,Attack,No,No,No,None,None
4,4.001,339,ALB,200,UKG,15,5,1946,1946,13,11,1946,Statlemate,None,26-100,Raid,4,0,1,1,1,0,0,None,Raid,4,1,0,0,0,26-100,Show of Ships,3,1,1,3,0,1,183,183,Attack,Attack,Show of Force,No,No,No,None,None
7,7.001,200,UKG,651,EGY,13,10,1951,1951,26,1,1952,Ongoing,Ongoing,None,Clash,4,1,1,1,1,0,0,None,Clash,4,1,0,1,2,None,Clash,4,1,1,3,0,1,80,80,Clash,Clash,Clash,No,No,No,None,None
7,7.001,200,UKG,651,EGY,13,10,1951,1952,26,1,1952,Win A,None,26-100,Clash,4,1,1,1,1,0,0,0-25,Clash,4,1,0,1,2,26-100,Clash,4,1,1,3,0,2,27,107,Clash,Clash,Clash,No,No,No,None,None
7,7.001,651,EGY,200,UKG,13,10,1951,1951,26,1,1952,Ongoing,Ongoing,None,Clash,4,1,1,1,0,1,2,None,Clash,4,1,1,0,0,None,Clash,4,1,3,1,0,1,80,80,Clash,Clash,Clash,No,No,No,None,None
7,7.001,651,EGY,200,UKG,13,10,1951,1952,26,1,1952,Win B,None,26-100,Clash,4,1,1,1,0,1,2,26-100,Clash,4,1,1,0,0,0-25,Clash,4,1,3,1,0,2,27,107,Clash,Clash,Clash,No,No,No,None,None
8,8.001,200,UKG,630,IRN,1,7,1856,1856,5,4,1857,Ongoing,Ongoing,None,Begin Interstate War,5,1,1,1,1,1,2,None,Begin Interstate War,5,1,0,0,0,None,Begin Interstate War,5,1,1,3,1,1,184,184,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
8,8.001,200,UKG,630,IRN,1,7,1856,1857,5,4,1857,Win A,imposed,"1,000+",Begin Interstate War,5,1,1,1,1,1,2,"1,000+",Begin Interstate War,5,1,0,0,0,"1,000+",Begin Interstate War,5,1,1,3,1,2,96,280,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
8,8.001,630,IRN,200,UKG,1,7,1856,1856,5,4,1857,Ongoing,Ongoing,None,Begin Interstate War,5,1,1,1,0,0,0,None,Begin Interstate War,5,1,1,1,2,None,Begin Interstate War,5,1,3,1,1,1,184,184,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
8,8.001,630,IRN,200,UKG,1,7,1856,1857,5,4,1857,Win B,imposed,"1,000+",Begin Interstate War,5,1,1,1,0,0,0,"1,000+",Begin Interstate War,5,1,1,1,2,"1,000+",Begin Interstate War,5,1,3,1,1,2,96,280,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
9,9.001,200,UKG,235,POR,29,12,1889,1889,10,1,1890,Ongoing,Ongoing,None,Show of Ships,3,0,1,1,1,1,1,None,Show of Ships,3,1,0,0,0,None,No military action,1,1,1,3,0,1,3,3,Show of Force,Show of Force,None,No,No,No,None,None
9,9.001,200,UKG,235,POR,29,12,1889,1890,10,1,1890,Compromise,Negotiated,None,Show of Ships,3,0,1,1,1,1,1,None,Show of Ships,3,1,0,0,0,None,No military action,1,1,1,3,0,2,11,14,Show of Force,Show of Force,None,No,No,No,None,None
9,9.001,235,POR,200,UKG,29,12,1889,1889,10,1,1890,Ongoing,Ongoing,None,Show of Ships,3,0,1,1,0,0,0,None,No military action,1,1,1,1,1,None,Show of Ships,3,1,3,1,0,1,3,3,Show of Force,None,Show of Force,No,No,No,None,None
9,9.001,235,POR,200,UKG,29,12,1889,1890,10,1,1890,Compromise,Negotiated,None,Show of Ships,3,0,1,1,0,0,0,None,No military action,1,1,1,1,1,None,Show of Ships,3,1,3,1,0,2,11,14,Show of Force,None,Show of Force,No,No,No,None,None
11,11.001,255,GMY,305,AUS,11,3,1938,1938,12,3,1938,Yield B,Negotiated,None,Occupation of territory,4,0,1,1,1,1,1,None,Occupation of territory,4,1,0,0,0,None,No military action,1,1,1,3,0,1,2,2,Occupation of territory,Occupation of territory,None,No,No,No,None,None
11,11.001,305,AUS,255,GMY,11,3,1938,1938,12,3,1938,Yield A,Negotiated,None,Occupation of territory,4,0,1,1,0,0,0,None,No military action,1,1,1,1,1,None,Occupation of territory,4,1,3,1,0,1,2,2,Occupation of territory,None,Occupation of territory,No,No,No,None,None
12,12.001,200,UKG,255,GMY,26,8,1938,1938,30,9,1938,Yield A,Negotiated,None,Raid,4,0,1,5,0,0,0,None,Show of Ships,3,0,1,1,1,None,Raid,4,1,4,1,0,1,36,36,Attack,Show of Force,Attack,No,No,No,None,None
12,12.001,255,GMY,200,UKG,26,8,1938,1938,30,9,1938,Yield B,Negotiated,None,Raid,4,0,1,5,1,1,1,None,Raid,4,1,0,0,0,None,Show of Ships,3,0,1,4,0,1,36,36,Attack,Attack,Show of Force,No,No,No,None,None
12,12.002,211,BEL,255,GMY,7,9,1938,1938,30,9,1938,Yield A,Negotiated,None,Raid,4,0,1,5,0,0,0,None,Show of troops,3,0,1,1,1,None,Raid,4,1,4,1,0,1,24,24,Attack,Show of Force,Attack,No,No,No,None,None
12,12.002,255,GMY,211,BEL,7,9,1938,1938,30,9,1938,Yield B,Negotiated,None,Raid,4,0,1,5,1,1,1,None,Raid,4,1,0,0,0,None,Show of troops,3,0,1,4,0,1,24,24,Attack,Attack,Show of Force,No,No,No,None,None
12,12.003,220,FRN,255,GMY,7,9,1938,1938,30,9,1938,Yield A,Negotiated,None,Raid,4,0,1,5,0,0,0,None,Mobilization,3,0,1,1,1,None,Raid,4,1,4,1,0,1,24,24,Attack,Mobilization,Attack,No,No,No,None,None
12,12.003,255,GMY,220,FRN,7,9,1938,1938,30,9,1938,Yield B,Negotiated,None,Raid,4,0,1,5,1,1,1,None,Raid,4,1,0,0,0,None,Mobilization,3,0,1,4,0,1,24,24,Attack,Attack,Mobilization,No,No,No,None,None
12,12.004,255,GMY,315,CZE,11,3,1938,1938,30,9,1938,Yield B,Negotiated,None,Raid,4,1,1,5,1,1,1,None,Raid,4,1,0,0,0,None,Raid,4,1,1,3,0,1,204,204,Attack,Attack,Attack,No,No,No,None,None
12,12.004,315,CZE,255,GMY,11,3,1938,1938,30,9,1938,Yield A,Negotiated,None,Raid,4,1,1,5,0,0,0,None,Raid,4,1,1,1,1,None,Raid,4,1,3,1,0,1,204,204,Attack,Attack,Attack,No,No,No,None,None
12,12.005,255,GMY,365,RUS,16,9,1938,1938,30,9,1938,Yield B,Negotiated,None,Raid,4,0,1,5,1,1,1,None,Raid,4,1,0,0,0,None,Show of troops,3,0,1,4,0,1,15,15,Attack,Attack,Show of Force,No,No,No,None,None
12,12.005,365,RUS,255,GMY,16,9,1938,1938,30,9,1938,Yield A,Negotiated,None,Raid,4,0,1,5,0,0,0,None,Show of troops,3,0,1,1,1,None,Raid,4,1,4,1,0,1,15,15,Attack,Show of Force,Attack,No,No,No,None,None
13,13.001,2,USA,740,JPN,20,7,1863,1863,20,7,1863,Win A,imposed,None,Threat to use force,2,0,3,1,1,0,0,None,Threat to use force,2,0,0,0,0,None,No military action,1,1,2,3,0,1,1,1,Threat to use force,Threat to use force,None,No,No,No,None,None
13,13.001,740,JPN,2,USA,20,7,1863,1863,20,7,1863,Win B,imposed,None,Threat to use force,2,0,3,1,0,0,0,None,No military action,1,1,1,0,0,None,Threat to use force,2,0,3,2,0,1,1,1,Threat to use force,None,Threat to use force,No,No,No,None,None
13,13.002,200,UKG,740,JPN,6,4,1863,1863,17,8,1863,Win A,imposed,None,Seizure,4,0,3,1,1,1,2,Missing (knon fatalities,Seizure,4,1,0,0,0,Missing (knon fatalities,No military action,1,1,1,3,0,1,134,134,Seizure of material/personnel,Seizure of material/personnel,None,No,No,No,None,None
13,13.002,740,JPN,200,UKG,6,4,1863,1863,17,8,1863,Win B,imposed,None,Seizure,4,0,3,1,0,0,0,Missing (knon fatalities,No military action,1,1,1,1,2,Missing (knon fatalities,Seizure,4,1,3,1,0,1,134,134,Seizure of material/personnel,None,Seizure of material/personnel,No,No,No,None,None
13,13.003,220,FRN,740,JPN,20,7,1863,1863,20,7,1863,Win A,imposed,None,Threat to use force,2,0,3,1,1,0,0,None,Threat to use force,2,0,0,0,0,None,No military action,1,1,2,3,0,1,1,1,Threat to use force,Threat to use force,None,No,No,No,None,None
13,13.003,740,JPN,220,FRN,20,7,1863,1863,20,7,1863,Win B,imposed,None,Threat to use force,2,0,3,1,0,0,0,None,No military action,1,1,1,0,0,None,Threat to use force,2,0,3,2,0,1,1,1,Threat to use force,None,Threat to use force,No,No,No,None,None
14,14.001,200,UKG,640,TUR,15,10,1895,1895,31,12,1895,Yield B,None,None,Show of Ships,3,0,1,1,1,1,2,None,Show of Ships,3,1,0,0,0,None,No military action,1,1,1,3,0,1,78,78,Show of Force,Show of Force,None,No,No,No,None,None
14,14.001,640,TUR,200,UKG,15,10,1895,1895,31,12,1895,Yield A,None,None,Show of Ships,3,0,1,1,0,0,0,None,No military action,1,1,1,1,2,None,Show of Ships,3,1,3,1,0,1,78,78,Show of Force,None,Show of Force,No,No,No,None,None
15,15.001,2,USA,200,UKG,1,1,1839,1839,23,3,1839,Compromise,Negotiated,None,Seizure,4,0,1,1,1,1,1,None,Show of troops,3,1,0,1,1,None,Seizure,4,1,1,3,0,1,82,82,Seizure of material/personnel,Show of Force,Seizure of material/personnel,No,No,No,None,None
15,15.001,200,UKG,2,USA,1,1,1839,1839,23,3,1839,Compromise,Negotiated,None,Seizure,4,0,1,1,0,1,1,None,Seizure,4,1,1,1,1,None,Show of troops,3,1,3,1,0,1,82,82,Seizure of material/personnel,Seizure of material/personnel,Show of Force,No,No,No,None,None
16,16.001,200,UKG,365,USR,25,12,1897,1897,5,2,1898,Ongoing,Ongoing,None,Show of Ships,3,0,2,2,1,0,0,None,Show of Ships,3,1,0,1,2,None,Show of Ships,3,1,1,3,0,1,7,7,Show of Force,Show of Force,Show of Force,No,No,No,None,None
16,16.001,200,UKG,365,USR,25,12,1897,1898,5,2,1898,Yield B,None,None,Show of Ships,3,0,2,2,1,0,0,None,Show of Ships,3,1,0,1,2,None,Show of Ships,3,1,1,3,0,2,37,44,Show of Force,Show of Force,Show of Force,No,No,No,None,None
16,16.001,365,USR,200,UKG,25,12,1897,1897,5,2,1898,Ongoing,Ongoing,None,Show of Ships,3,0,2,2,0,1,2,None,Show of Ships,3,1,1,0,0,None,Show of Ships,3,1,3,1,0,1,7,7,Show of Force,Show of Force,Show of Force,No,No,No,None,None
16,16.001,365,USR,200,UKG,25,12,1897,1898,5,2,1898,Yield A,None,None,Show of Ships,3,0,2,2,0,1,2,None,Show of Ships,3,1,1,0,0,None,Show of Ships,3,1,3,1,0,2,37,44,Show of Force,Show of Force,Show of Force,No,No,No,None,None
16,16.002,200,UKG,730,KOR,25,12,1897,1897,5,2,1898,Ongoing,Ongoing,None,Show of Ships,3,0,2,2,1,1,2,None,Show of Ships,3,1,0,0,0,None,No military action,1,1,1,3,0,1,7,7,Show of Force,Show of Force,None,No,No,No,None,None
16,16.002,200,UKG,730,KOR,25,12,1897,1898,5,2,1898,Yield B,None,None,Show of Ships,3,0,2,2,1,1,2,None,Show of Ships,3,1,0,0,0,None,No military action,1,1,1,3,0,2,37,44,Show of Force,Show of Force,None,No,No,No,None,None
16,16.002,730,KOR,200,UKG,25,12,1897,1897,5,2,1898,Ongoing,Ongoing,None,Show of Ships,3,0,2,2,0,0,0,None,No military action,1,1,1,1,2,None,Show of Ships,3,1,3,1,0,1,7,7,Show of Force,None,Show of Force,No,No,No,None,None
16,16.002,730,KOR,200,UKG,25,12,1897,1898,5,2,1898,Yield A,None,None,Show of Ships,3,0,2,2,0,0,0,None,No military action,1,1,1,1,2,None,Show of Ships,3,1,3,1,0,2,37,44,Show of Force,None,Show of Force,No,No,No,None,None
16,16.003,365,RUS,740,JPN,25,12,1897,1897,5,2,1898,Ongoing,Ongoing,None,Show of Ships,3,0,2,2,0,0,0,None,No military action,1,1,1,1,2,None,Show of Ships,3,1,3,1,0,1,7,7,Show of Force,None,Show of Force,No,No,No,None,None
16,16.003,365,RUS,740,JPN,25,12,1897,1898,5,2,1898,Yield A,None,None,Show of Ships,3,0,2,2,0,0,0,None,No military action,1,1,1,1,2,None,Show of Ships,3,1,3,1,0,2,37,44,Show of Force,None,Show of Force,No,No,No,None,None
16,16.003,740,JPN,365,RUS,25,12,1897,1897,5,2,1898,Ongoing,Ongoing,None,Show of Ships,3,0,2,2,1,1,2,None,Show of Ships,3,1,0,0,0,None,No military action,1,1,1,3,0,1,7,7,Show of Force,Show of Force,None,No,No,No,None,None
16,16.003,740,JPN,365,RUS,25,12,1897,1898,5,2,1898,Yield B,None,None,Show of Ships,3,0,2,2,1,1,2,None,Show of Ships,3,1,0,0,0,None,No military action,1,1,1,3,0,2,37,44,Show of Force,Show of Force,None,No,No,No,None,None
19,19.001,300,AUH,325,ITA,4,4,1848,1848,23,3,1849,Ongoing,Ongoing,None,Begin Interstate War,5,1,1,3,1,0,0,None,Begin Interstate War,5,1,0,1,1,None,Begin Interstate War,5,1,1,3,1,1,272,272,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
19,19.001,300,AUH,325,ITA,4,4,1848,1849,23,3,1849,Win A,Negotiated,"1,000+",Begin Interstate War,5,1,1,3,1,0,0,"1,000+",Begin Interstate War,5,1,0,1,1,"1,000+",Begin Interstate War,5,1,1,3,1,2,83,355,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
19,19.001,325,ITA,300,AUH,4,4,1848,1848,23,3,1849,Ongoing,Ongoing,None,Begin Interstate War,5,1,1,3,0,1,1,None,Begin Interstate War,5,1,1,0,0,None,Begin Interstate War,5,1,3,1,1,1,272,272,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
19,19.001,325,ITA,300,AUH,4,4,1848,1849,23,3,1849,Win B,Negotiated,"1,000+",Begin Interstate War,5,1,1,3,0,1,1,"1,000+",Begin Interstate War,5,1,1,0,0,"1,000+",Begin Interstate War,5,1,3,1,1,2,83,355,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
19,19.002,300,AUH,332,MOD,1,3,1848,1848,9,8,1848,Win A,Negotiated,"1,000+",Begin Interstate War,5,1,1,3,1,0,0,"1,000+",Begin Interstate War,5,1,0,0,0,26-100,Begin Interstate War,5,0,1,4,1,1,146,146,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
19,19.002,332,MOD,300,AUH,1,3,1848,1848,24,7,1848,Win B,Negotiated,"1,000+",Begin Interstate War,5,1,1,3,0,0,0,26-100,Begin Interstate War,5,0,1,0,0,"1,000+",Begin Interstate War,5,1,4,1,1,1,146,146,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
19,19.003,300,AUH,337,TUS,21,3,1848,1848,9,8,1848,Win A,Negotiated,"1,000+",Begin Interstate War,5,1,1,3,1,0,0,"1,000+",Begin Interstate War,5,1,0,0,0,26-100,Begin Interstate War,5,0,1,4,1,1,126,126,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
19,19.003,337,TUS,300,AUH,21,3,1848,1848,24,7,1848,Win B,Negotiated,"1,000+",Begin Interstate War,5,1,1,3,0,0,0,26-100,Begin Interstate War,5,0,1,0,0,"1,000+",Begin Interstate War,5,1,4,1,1,1,126,126,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
20,20.001,365,RUS,630,IRN,18,11,1945,1945,9,5,1946,Ongoing,Ongoing,None,Show of troops,3,0,1,1,1,1,2,None,Show of troops,3,1,0,0,0,None,No military action,1,1,1,3,0,1,44,44,Show of Force,Show of Force,None,No,No,No,None,None
20,20.001,365,RUS,630,IRN,18,11,1945,1946,9,5,1946,Yield A,Negotiated,None,Show of troops,3,0,1,1,1,1,2,None,Show of troops,3,1,0,0,0,None,No military action,1,1,1,3,0,2,130,174,Show of Force,Show of Force,None,No,No,No,None,None
20,20.001,630,IRN,365,RUS,18,11,1945,1945,9,5,1946,Ongoing,Ongoing,None,Show of troops,3,0,1,1,0,0,0,None,No military action,1,1,1,1,2,None,Show of troops,3,1,3,1,0,1,44,44,Show of Force,None,Show of Force,No,No,No,None,None
20,20.001,630,IRN,365,RUS,18,11,1945,1946,9,5,1946,Yield B,Negotiated,None,Show of troops,3,0,1,1,0,0,0,None,No military action,1,1,1,1,2,None,Show of troops,3,1,3,1,0,2,130,174,Show of Force,None,Show of Force,No,No,No,None,None
21,21.001,300,AUH,345,YUG,21,11,1912,1912,3,12,1912,Statlemate,None,None,Mobilization,3,0,1,2,1,1,2,None,Mobilization,3,1,0,1,1,None,No military action,1,1,1,3,0,1,13,13,Mobilization,Mobilization,None,No,No,No,None,None
21,21.001,345,YUG,300,AUH,21,11,1912,1912,3,12,1912,Statlemate,None,None,Mobilization,3,0,1,2,0,1,1,None,No military action,1,1,1,1,2,None,Mobilization,3,1,3,1,0,1,13,13,Mobilization,None,Mobilization,No,No,No,None,None
21,21.002,300,AUH,365,RUS,21,11,1912,1912,3,12,1912,Statlemate,None,None,Mobilization,3,0,1,2,1,1,2,None,Mobilization,3,1,0,1,2,None,No military action,1,1,1,3,0,1,13,13,Mobilization,Mobilization,None,No,No,No,None,None
21,21.002,365,RUS,300,AUH,21,11,1912,1912,3,12,1912,Statlemate,None,None,Mobilization,3,0,1,2,0,1,2,None,No military action,1,1,1,1,2,None,Mobilization,3,1,3,1,0,1,13,13,Mobilization,None,Mobilization,No,No,No,None,None
22,22.001,365,RUS,367,LAT,9,6,1940,1940,17,6,1940,Win A,imposed,None,Raid,4,1,1,1,1,1,1,Missing (knon fatalities,Raid,4,1,0,0,0,Missing (knon fatalities,Raid,4,1,1,3,0,1,9,9,Attack,Attack,Attack,No,No,No,None,None
22,22.001,367,LAT,365,RUS,9,6,1940,1940,17,6,1940,Win B,imposed,None,Raid,4,1,1,1,0,0,0,Missing (knon fatalities,Raid,4,1,1,1,1,Missing (knon fatalities,Raid,4,1,3,1,0,1,9,9,Attack,Attack,Attack,No,No,No,None,None
23,23.001,365,RUS,366,EST,1,3,1939,1939,18,10,1939,Yield B,Negotiated,None,Blockade,4,0,1,1,1,1,2,None,Blockade,4,1,0,0,0,None,No military action,1,1,1,3,0,1,232,232,Blockade,Blockade,None,No,No,No,None,None
23,23.001,366,EST,365,RUS,1,3,1939,1939,18,10,1939,Yield A,Negotiated,None,Blockade,4,0,1,1,0,0,0,None,No military action,1,1,1,1,2,None,Blockade,4,1,3,1,0,1,232,232,Blockade,None,Blockade,No,No,No,None,None
25,25.001,200,UKG,210,NTH,15,8,1831,1831,30,9,1831,Statlemate,None,None,Show of Ships,3,0,2,3,0,0,0,None,Show of Ships,3,0,1,1,1,None,No military action,1,1,4,1,0,1,47,47,Show of Force,Show of Force,None,No,No,No,None,None
25,25.001,210,NTH,200,UKG,15,8,1831,1831,30,9,1831,Statlemate,None,None,Show of Ships,3,0,2,3,1,1,1,None,No military action,1,1,0,0,0,None,Show of Ships,3,0,1,4,0,1,47,47,Show of Force,None,Show of Force,No,No,No,None,None
25,25.002,210,NTH,211,BEL,2,8,1831,1831,2,2,1832,Ongoing,Ongoing,None,Clash,4,1,2,3,1,1,1,None,Clash,4,1,0,0,0,None,Clash,4,1,1,3,0,1,152,152,Clash,Clash,Clash,No,No,No,None,None
25,25.002,210,NTH,211,BEL,2,8,1831,1832,2,2,1832,Statlemate,None,None,Clash,4,1,2,3,1,1,1,Missing (knon fatalities,Clash,4,1,0,0,0,Missing (knon fatalities,Clash,4,1,1,3,0,2,34,186,Clash,Clash,Clash,No,No,No,None,None
25,25.002,211,BEL,210,NTH,2,8,1831,1831,2,2,1832,Ongoing,Ongoing,None,Clash,4,1,2,3,0,0,0,None,Clash,4,1,1,1,1,None,Clash,4,1,3,1,0,1,152,152,Clash,Clash,Clash,No,No,No,None,None
25,25.002,211,BEL,210,NTH,2,8,1831,1832,2,2,1832,Statlemate,None,None,Clash,4,1,2,3,0,0,0,Missing (knon fatalities,Clash,4,1,1,1,1,Missing (knon fatalities,Clash,4,1,3,1,0,2,34,186,Clash,Clash,Clash,No,No,No,None,None
25,25.003,210,NTH,220,FRN,15,8,1831,1831,30,9,1831,Statlemate,None,None,Raid,4,1,2,3,1,1,1,Missing (knon fatalities,Raid,4,1,0,0,0,Missing (knon fatalities,Clash,4,0,1,4,0,1,47,47,Attack,Attack,Clash,No,No,No,None,None
25,25.003,220,FRN,210,NTH,15,8,1831,1831,30,9,1831,Statlemate,None,None,Raid,4,1,2,3,0,0,0,Missing (knon fatalities,Clash,4,0,1,1,1,Missing (knon fatalities,Raid,4,1,4,1,0,1,47,47,Attack,Clash,Attack,No,No,No,None,None
25,25.004,220,FRN,255,GMY,15,8,1831,1831,30,9,1831,Statlemate,None,None,Threat to use force,2,0,2,3,0,0,0,None,No military action,1,0,1,1,1,None,Threat to use force,2,0,4,2,0,1,47,47,Threat to use force,None,Threat to use force,No,No,No,None,None
25,25.004,255,GMY,220,FRN,15,8,1831,1831,30,9,1831,Statlemate,None,None,Threat to use force,2,0,2,3,1,1,1,None,Threat to use force,2,0,0,0,0,None,No military action,1,0,2,4,0,1,47,47,Threat to use force,Threat to use force,None,No,No,No,None,None
26,26.001,2,USA,365,RUS,21,3,1948,1948,25,7,1949,Ongoing,Ongoing,None,Raid,4,0,1,3,0,0,0,None,Blockade,4,1,1,1,1,None,Raid,4,1,3,1,0,1,286,286,Attack,Blockade,Attack,No,No,No,None,None
26,26.001,2,USA,365,RUS,21,3,1948,1949,25,7,1949,Statlemate,None,None,Raid,4,0,1,3,0,0,0,None,Blockade,4,1,1,1,1,None,Raid,4,1,3,1,0,2,207,493,Attack,Blockade,Attack,No,No,No,None,None
26,26.001,365,RUS,2,USA,21,3,1948,1948,25,7,1949,Ongoing,Ongoing,None,Raid,4,0,1,3,1,1,1,None,Raid,4,1,0,0,0,None,Blockade,4,1,1,3,0,1,286,286,Attack,Attack,Blockade,No,No,No,None,None
26,26.001,365,RUS,2,USA,21,3,1948,1949,25,7,1949,Statlemate,None,None,Raid,4,0,1,3,1,1,1,None,Raid,4,1,0,0,0,None,Blockade,4,1,1,3,0,2,207,493,Attack,Attack,Blockade,No,No,No,None,None
26,26.002,200,UKG,365,RUS,21,3,1948,1948,25,7,1949,Ongoing,Ongoing,None,Raid,4,0,1,3,0,0,0,None,Blockade,4,1,1,1,1,None,Raid,4,1,3,1,0,1,286,286,Attack,Blockade,Attack,No,No,No,None,None
26,26.002,200,UKG,365,RUS,21,3,1948,1949,25,7,1949,Statlemate,None,None,Raid,4,0,1,3,0,0,0,None,Blockade,4,1,1,1,1,None,Raid,4,1,3,1,0,2,207,493,Attack,Blockade,Attack,No,No,No,None,None
26,26.002,365,RUS,200,UKG,21,3,1948,1948,25,7,1949,Ongoing,Ongoing,None,Raid,4,0,1,3,1,1,1,None,Raid,4,1,0,0,0,None,Blockade,4,1,1,3,0,1,286,286,Attack,Attack,Blockade,No,No,No,None,None
26,26.002,365,RUS,200,UKG,21,3,1948,1949,25,7,1949,Statlemate,None,None,Raid,4,0,1,3,1,1,1,None,Raid,4,1,0,0,0,None,Blockade,4,1,1,3,0,2,207,493,Attack,Attack,Blockade,No,No,No,None,None
26,26.003,220,FRN,365,RUS,21,3,1948,1948,25,7,1949,Ongoing,Ongoing,None,Raid,4,0,1,3,0,0,0,None,Blockade,4,1,1,1,1,None,Raid,4,1,3,1,0,1,286,286,Attack,Blockade,Attack,No,No,No,None,None
26,26.003,220,FRN,365,RUS,21,3,1948,1949,25,7,1949,Statlemate,None,None,Raid,4,0,1,3,0,0,0,None,Blockade,4,1,1,1,1,None,Raid,4,1,3,1,0,2,207,493,Attack,Blockade,Attack,No,No,No,None,None
26,26.003,365,RUS,220,FRN,21,3,1948,1948,25,7,1949,Ongoing,Ongoing,None,Raid,4,0,1,3,1,1,1,None,Raid,4,1,0,0,0,None,Blockade,4,1,1,3,0,1,286,286,Attack,Attack,Blockade,No,No,No,None,None
26,26.003,365,RUS,220,FRN,21,3,1948,1949,25,7,1949,Statlemate,None,None,Raid,4,0,1,3,1,1,1,None,Raid,4,1,0,0,0,None,Blockade,4,1,1,3,0,2,207,493,Attack,Attack,Blockade,No,No,No,None,None
27,27.001,2,USA,265,GDR,13,8,1961,1961,28,10,1961,Statlemate,None,None,Blockade,4,0,4,4,1,0,0,None,Mobilization,3,1,0,1,2,None,Blockade,4,0,1,4,0,1,77,77,Blockade,Mobilization,Blockade,No,No,No,None,None
27,27.001,265,GDR,2,USA,13,8,1961,1961,28,10,1961,Statlemate,None,None,Blockade,4,0,4,4,0,1,2,None,Blockade,4,0,1,0,0,None,Mobilization,3,1,4,1,0,1,77,77,Blockade,Blockade,Mobilization,No,No,No,None,None
27,27.002,2,USA,290,POL,18,10,1961,1961,28,10,1961,Statlemate,None,None,Mobilization,3,0,4,4,1,0,0,None,Mobilization,3,1,0,0,0,None,Show of troops,3,0,1,4,0,1,11,11,Mobilization,Mobilization,Show of Force,No,No,No,None,None
27,27.002,290,POL,2,USA,18,10,1961,1961,28,10,1961,Statlemate,None,None,Mobilization,3,0,4,4,0,0,0,None,Show of troops,3,0,1,0,0,None,Mobilization,3,1,4,1,0,1,11,11,Mobilization,Show of Force,Mobilization,No,No,No,None,None
27,27.003,2,USA,315,CZE,18,10,1961,1961,28,10,1961,Statlemate,None,None,Mobilization,3,0,4,4,1,0,0,None,Mobilization,3,1,0,0,0,None,Show of troops,3,0,1,4,0,1,11,11,Mobilization,Mobilization,Show of Force,No,No,No,None,None
